,Unnamed: 0,DriverID,Hour,Minute,Second,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,TaskID_new
526,113,Driver-1,15,45,19,-0.4961832061068702,5.511450381679389,0.8473282442748091,0.3134765625,-0.1298828125,-0.98583984375,9
527,380,Driver-1,14,27,27,-0.0687022900763358,2.870229007633588,1.931297709923664,0.456298828125,-0.17919921875,-0.9375,29
528,219,Driver-2,15,51,20,-0.4351145038167939,5.099236641221374,7.374045801526718,0.13427734375,0.109619140625,-0.9765625,16
529,594,Driver-3,14,21,3,0.3587786259541985,6.99236641221374,1.145038167938931,0.34326171875,-0.110107421875,-0.983642578125,53
530,713,Driver-2,15,13,9,-1.534351145038168,9.580152671755725,6.160305343511451,0.368408203125,-0.135498046875,-0.992431640625,63
531,184,Driver-2,15,49,45,-0.4809160305343512,4.900763358778626,0.549618320610687,0.355712890625,-0.157958984375,-0.97265625,14
532,50,Driver-1,15,41,57,-2.793893129770992,4.519083969465649,-0.1221374045801527,0.3203125,-0.14501953125,-1.01171875,4
533,565,Driver-3,14,18,12,2.083969465648855,-1.641221374045801,0.0076335877862595,-0.040283203125,-0.06787109375,-0.854736328125,49
534,666,Driver-1,15,19,45,-10.73282442748092,8.992366412213741,1.473282442748092,0.350341796875,-0.08984375,-1.00244140625,59
535,642,Driver-1,15,17,25,-0.2519083969465649,3.206106870229008,2.045801526717557,0.423828125,-0.197265625,-0.96044921875,57
536,210,Driver-2,15,51,11,-2.145038167938931,6.816793893129771,2.236641221374046,0.44091796875,-0.126953125,-0.934326171875,16
537,741,Driver-2,15,10,4,5.641221374045801,3.648854961832061,-28.38167938931298,-0.170654296875,-0.3349609375,-0.89208984375,65
538,371,Driver-1,14,27,1,-0.3893129770992366,2.526717557251908,0.3816793893129771,0.516845703125,-0.183349609375,-0.808349609375,28
539,1028,Driver-3,12,20,29,-1.648854961832061,3.488549618320611,0.5954198473282443,0.032470703125,0.05859375,-0.892822265625,97
